식당명,음식,주소,gyung,wedo
삼육식당,닭냉국수,경북 포항시 남구 오천읍 문덕리 347-3,129.403437707741,35.9585139520544
유화초전복죽,전복죽,경북 포항시 북구 죽도동 576-2,129.369511601605,36.0348323643085
중앙식당,두루치기,경상남도 거제시 옥포2동 529-8,128.690623169375,34.8939685460001
단골집,돼지국밥,경상남도 밀양시 내일동 192-1,128.753727524388,35.4937253821917
육거리곰탕,곰탕,경상남도 진주시 강남동 119,128.086268690282,35.1857961592546
천황식당,육회비빔밥,경상남도 진주시 대안동 4-1,128.084440700717,35.1960774520355
진주통닭,빨간닭찜,경상남도 진주시 판문동 298-1,128.042328738555,35.1685350142905
언양각식당,석쇠불고기,경상남도 창원시 의창구 용호동 16-1,128.687209621858,35.2361180645254
산에산에,통명태전,경상남도 창원시 진해구 풍호동 497-5,128.703195104324,35.1365133434721
동진충무김밥,충무김밥,경상남도 통영시 항남동 1-44,128.423431318793,34.843442142682
달인충무김밥,충무김밥,경상남도 통영시 항남동 79-24,128.423167874132,34.8431197630766
교리김밥 본점,김밥,경상북도 경주시 교동 69,129.21620996587,35.8308808357313
명동쫄면,유부쫄면,경상북도 경주시 노동동 80-8,129.213227471918,35.8425725492231
남정 부일 기사식당,짬뽕불고기,경상북도 경주시 배동 948-3,129.205738403489,35.7908190693026
옛날국수,찹쌀수제비,경상북도 구미시 원평동 117-20,128.329870681142,36.1308211142157
배신식당,석쇠불고기,경상북도 김천시 감문면 태촌리119-1,128.230673864249,36.1909347772434
원조지례삼거리불고기,불고기,경상북도 김천시 지례면 교리 687,0,0
중앙찜닭,간장찜닭,경상북도 안동시 서부동 181-13,128.727970615259,36.5656185843522
명동감자탕,감자탕,경상북도 영주시 하망동 340-20,128.626206057011,36.8245295086496
단골식당,순대국밥,경상북도 예천군 용궁면 읍부리 299-2,128.277607829853,36.6070921103414
한미식당,치즈시내소,경상북도 칠곡군 왜관읍 석전리 447-6,128.413470876626,36.0036583135728
철규분식,단팥죽,경상북도 포항시 남구 구룡포읍 구룡포리 987-1,129.552154529346,35.9898145516974
신항한우돌곱창,곱창,경상북도 포항시 남구 청림동 1172-13,129.403469332385,35.9939378004681
새포항물회식당,물회,경상북도 포항시 북구 대신동 63-3,129.369566402162,36.0464303375413
평남식당,한우곰탕,경상북도 포항시 북구 죽도동 156-1,129.365793459561,36.0359768272843
서울곱창전문,양념곱창구이,광주 광산구 송정2동 820-5,126.796339435554,35.138686277944
송정떡갈비,떡갈비,광주 광산구 송정동 826-3,126.794810329787,35.1389645625755
엄마네돼지찌개,돼지찌개,광주 동구 금동 77,126.916153389833,35.1436892693884
나주식당,순대국수,광주 동구 대인동 307-38,126.918006734647,35.1542773827262
백두산,짬짜면,광주 동구 서석동 471-11,126.924836049379,35.1436144744553
온천 할머니집,보리밥,광주 동구 지산동 67-21,126.944708971083,35.1496561812554
영미오리탕,오리탕,광주 북구 유동 102-31,126.90552897482,35.1613996727705
강진식육식당,삼겹살,광주 북구 중흥동 356-15,126.910842831344,35.1702701821435
양동통닭,통닭,광주 서구 양동 5,126.904452875129,35.1527820109024
청학식당,대구탕,대구 남구 봉덕1동 599-12,128.591437621385,35.8478065377516
진흥반점,짬뽕,대구 남구 이천동 311-28,128.600519419542,35.854805201805
장여사의 나뭇잎손만두,콩나물어묵,대구 달서구 진천동 626-1 서문시장 4지구,128.521763292889,35.8127260527864
동곡 원조할매 손국수,국수,대구 달성군 하빈면 동곡리127,0,0
꼬꼬하우스,똥집튀김,대구 동구 신암동 600-19,128.619853572771,35.8828223637846
용수천농원,미나리,대구 동구 용수동 468,128.675222242526,35.972159416898
수봉반점,짬뽕,대구 북구 대현동 321-70,128.606360689558,35.878294975782
대성기사한식뷔페,한식뷔페,대구 서구 비산5동 1095-3,128.571388221165,35.8840519874403
진미식육식당,불고기,대구 서구 원대동3가 1223,0,0
미성복어,복불고기,대구 수성구 상동 12-7,128.616432552283,35.8377546236038
윤옥연 할매떡볶이,떡볶이,대구 수성구 수성동4가 1120-2,128.617022524927,35.8645263872741
중화반점,야끼우동,대구 중구 남일동 92,128.594394231803,35.8692850469622
미림식당,돈까스,대구 중구 대신동 138,128.58114668258,35.8708778572085
중앙떡볶이,떡볶이,대구 중구 동성로2가 70,0,0
뉴욕통닭,통닭,대구 중구 동성로3가 59-1,128.592363267189,35.8668543918421
왕거미구이,오드레기 #뭉티기 #육회,대구 중구 동인동4가 179,128.606718714862,35.8685004622929
태능집,우동,대구 중구 수창동 95-1,128.586972075736,35.8744010949418
개천식당,이북식만두국,대전 동구 원동 62-1,127.431728867163,36.3286189080807
금성삼계탕,삼계탕,대전 동구 중동 32-14,127.428757950905,36.3321450011501
미세노센세,카레,대전 서구 탄방동 757,127.388877140225,36.3461050988196
스마일칼국수,칼국수,대전 중구 대흥동 440-1,127.427181054229,36.3244094494132
실비식당,매운김치국밥,대전 중구 선화동 243-1,127.420978602898,36.3303492146633
고단백식당,콩국수,대전 중구 선화동 282-11,127.421107954882,36.3286813116418
한영식당,닭볶음탕,대전 중구 오류동 149-25,127.410773361685,36.3234392586234
스즈요시,홋피도오리,도쿄도 다이토구 아사쿠사 2-5-1,0,0
카렌,야끼니꾸,도쿄도 미나토구 신바시 3-21-4,0,0
타츠노야,일본 라면 #라멘,도쿄도 신주쿠 니시신주쿠 7 초메 4-5,0,0
