식당명,음식,주소,gyung,wedo
현대닭내장,닭내장탕,전북 전주시 완산구 서노송동 655-4,127.142736635457,35.8263540210739
우정식당,콩나물국밥,전북 전주시 완산구 전동3가 2,127.146392183939,35.8128474880916
성미당 중앙점,전주비빔밥,전북 전주시 완산구 중앙동3가 31-2,127.145375784777,35.8173488963081
보안식당,비빔쫄면,전북 정읍시 수성동 528-5,126.85023314502,35.5688834413396
물질식육식당,고기짬뽕,제주도 서귀포시 강정동 4521-8,126.480293736039,33.2353730949405
공천포식당,물회,제주도 서귀포시 남원읍 신례리 27-5,126.64262832221,33.2664028442994
어진이네 횟집,물회,제주도 서귀포시 보목동 555,126.60766478707,33.239695869514
성읍 칠십리식당,흑돼지,제주도 서귀포시 표선면 성읍리 580,126.801181519578,33.3892750006954
장수물식당,고기국수,제주도 제주시 연동 310-79,126.498625251516,33.4919187430987
태광식당,한치주물럭,제주도 제주시 용담1동 119,0,0
골막식당,고기국수,제주도 제주시 이도2동 362-1,126.538416775727,33.502473860415
대도식당,김치복국,제주특별자치도 서귀포시 서귀동 587-42,126.562422549742,33.2439979173752
구좌상회,당근케이크,제주특별자치도 제주시 구좌읍 월정리 417,126.792670140405,33.5562258023204
슬슬슬로우,돔베라면,제주특별자치도 제주시 구좌읍 행원리 1482,126.806912780434,33.5563261913932
두루두루,객주리 조림,제주특별자치도 제주시 연동 291-10,126.494475907899,33.4905100078655
성미가든,닭 샤부샤부,제주특별자치도 제주시 조천읍 교래리 525,126.676560464758,33.4376397602158
그린하우스,쭈꾸미 샤부샤부,충남 보령시 웅천읍 관당리 797-1,126.537851079173,36.2463228049077
해당화굴구이,굴구이,충남 보령시 천북면 장은리 1070,126.483712238366,36.5071505451802
진국집,게국지,충남 서산시 읍내동 1-7,126.45194692293,36.7825796162894
산수파김치장어,파김치 장어,충남 서산시 해미면 산수리 산 72-13,126.564826263348,36.702356763037
신창집,곱창찌개,충남 예산군 삽교읍 두리 568-51,126.741208406993,36.6865699950585
장군집,돼지 부속 구이,충북 청주시 서원구 개신동 316-6,127.453838653524,36.6200731439259
명성불고기,불고기,충청남도 공주시 산성동 133-4,127.125069368622,36.4581633591445
시골통닭,통닭,충청남도 부여군 부여읍 구아리 173,126.911609998958,36.2819939433284
한일식당,소머리국밥,충청남도 예산군 삽교읍 두리 568-47,126.741150298227,36.6867820842435
인정받은불낙지,산낙지찜,충청남도 천안시 동남구 원성동 600-1,127.15366945538,36.7997854595128
공주집,간장닭갈비,충청남도 천안시 서북구 성환읍 송덕리 54-3,127.118827512652,36.9236773666622
결성칼국수,굴칼국수,충청남도 홍성군 결성면 읍내리 337,126.547071837801,36.5245754190242
충청도순대,단양마늘순대전골,충청북도 단양군 단양읍 도전리 614,128.369976678374,36.9830553283375
향미식당,탕수육,충청북도 단양군 매포읍 평동리 124-8,128.303719279461,37.029843057529
덕승관,유니짜장,충청북도 영동군 황간면 소계리 310-2,127.91609239758,36.2254490244793
찐한식당,생선국수,충청북도 옥천군 청산면 교평리 257-5,127.795219148619,36.3442918084944
대추나무집,짜글이,충청북도 청주시 상당구 사천동 73-2,127.480745831284,36.6772866607297
고추만두국집,고추만두,충청북도 청주시 상당구 서문동 80-5,127.486501451847,36.6338413017576
